0.300	0.109	0.708	0.099	0.023	目录
1.000	0.178	0.591	0.083	0.019	第一部分
0.500	0.368	0.592	0.230	0.015	准则一 食物多样，合理搭配
0.300	0.752	0.593	0.023	0.013	：3
0.500	0.368	0.570	0.236	0.016	准则二 吃动平衡，健康体重•
0.300	0.739	0.571	0.035	0.013	⋯27
0.500	0.368	0.549	0.057	0.015	准则三
0.500	0.437	0.548	0.246	0.016	多吃蔬果、奶类、全谷、大豆•
0.300	0.739	0.552	0.035	0.010	⋯47
1.000	0.133	0.532	0.168	0.018	一般人群膳食指南
1.000	0.368	0.529	0.062	0.013	准则四
1.000	0.425	0.526	0.207	0.016	适量吃鱼、禽、蛋、瘦肉
0.300	0.741	0.531	0.033	0.010	：75
0.300	0.308	0.498	0.023	0.013	/1
0.500	0.368	0.506	0.238	0.016	准则五 少盐少油，控糖限酒•
0.300	0.737	0.509	0.037	0.012	…94
0.500	0.368	0.484	0.230	0.016	准则六 规律进餐，足量饮水
0.300	0.739	0.485	0.035	0.013	•116
0.500	0.368	0.463	0.230	0.015	准则七 会烹会选，会看标签
0.300	0.739	0.465	0.035	0.012	•138
0.500	0.368	0.442	0.228	0.016	准则八 公筷分餐，杜绝浪费
0.300	0.735	0.443	0.039	0.013	• 154
1.000	0.176	0.356	0.084	0.018	第二部分
0.500	0.366	0.334	0.205	0.016	一、孕妇、乳母膳食指南•
0.300	0.739	0.336	0.035	0.015	179
0.500	0.363	0.314	0.259	0.016	（一）备孕和孕期妇女膳食指南⋯
0.300	0.739	0.315	0.035	0.012	•180
1.000	0.136	0.296	0.166	0.018	特定人群膳食指南
0.500	0.363	0.294	0.205	0.013	（二）哺乳期妇女膳食指南
1.000	0.741	0.294	0.033	0.012	188
0.300	0.287	0.263	0.043	0.013	/177
0.500	0.368	0.270	0.170	0.016	二、婴幼儿喂养指南⋯
1.000	0.741	0.273	0.033	0.012	196
0.300	0.363	0.250	0.271	0.015	（一）0~6月龄婴儿母乳喂养指南•
0.300	0.747	0.251	0.027	0.012	197
0.500	0.361	0.228	0.253	0.015	（二） 7~24月龄婴幼儿喂养指南
0.500	0.739	0.230	0.033	0.012	221
0.500	0.368	0.206	0.154	0.016	三、儿童膳食指南⋯
1.000	0.741	0.208	0.033	0.013	246
0.500	0.361	0.186	0.207	0.015	（一）学龄前儿童膳食指南
0.500	0.739	0.186	0.035	0.013	247
0.500	0.363	0.164	0.187	0.015	（二）学龄儿童膳食指南
0.500	0.739	0.166	0.035	0.012	254
1.000	0.368	0.142	0.170	0.016	四、老年人膳食指南⋯
1.000	0.741	0.144	0.033	0.012	264
1.000	0.361	0.122	0.207	0.015	（一）一般老年人膳食指南
0.300	0.731	0.124	0.043	0.012	：265
0.500	0.361	0.100	0.207	0.015	（二）高龄老年人膳食指南
1.000	0.739	0.102	0.033	0.012	272
0.300	0.366	0.078	0.187	0.016	五、素食人群膳食指南．
1.000	0.741	0.080	0.031	0.013	281
1.000	0.041	0.042	0.023	0.012	12
