1.000	0.828	0.795	0.029	0.010	续表
1.000	0.306	0.773	0.056	0.012	食物名称
0.300	0.530	0.773	0.043	0.012	钠/mg
0.500	0.721	0.773	0.101	0.014	相当于盐含量/g
1.000	0.248	0.750	0.031	0.012	其他
1.000	0.267	0.724	0.041	0.012	龙须面
1.000	0.534	0.727	0.037	0.009	711.2
1.000	0.760	0.728	0.027	0.009	1.81
1.000	0.265	0.699	0.029	0.012	油条
1.000	0.534	0.702	0.037	0.009	585.2
0.300	0.760	0.702	0.027	0.009	1.48
0.500	0.267	0.674	0.078	0.012	面包（均值）
1.000	0.760	0.677	0.029	0.009	0.59
1.000	0.267	0.648	0.041	0.013	咸面包
1.000	0.760	0.653	0.029	0.009	1.34
0.500	0.269	0.626	0.076	0.009	豆腐丝（油）
1.000	0.760	0.628	0.029	0.009	1.95
1.000	0.267	0.599	0.041	0.012	豆腐干
1.000	0.760	0.602	0.029	0.010	1.75
1.000	0.267	0.574	0.041	0.012	素火腿
1.000	0.760	0.577	0.029	0.009	1.72
1.000	0.269	0.551	0.076	0.010	热狗（原味）
1.000	0.760	0.552	0.029	0.009	1.74
0.500	0.269	0.525	0.103	0.010	比萨饼（夹奶酪）
1.000	0.760	0.528	0.029	0.009	1.35
0.500	0.269	0.498	0.142	0.012	三明治（夹火腿、干酪）
1.000	0.760	0.501	0.029	0.009	1.34
0.500	0.269	0.475	0.076	0.010	开心果（熟）
0.500	0.760	0.477	0.029	0.009	1.92
0.500	0.267	0.449	0.066	0.012	松子（熟）
1.000	0.536	0.452	0.035	0.009	666.0
1.000	0.760	0.452	0.029	0.009	1.69
0.500	0.269	0.424	0.078	0.011	葵花子（熟）
1.000	0.536	0.426	0.035	0.010	634.7
1.000	0.760	0.427	0.029	0.009	1.61
1.000	0.267	0.398	0.041	0.012	龙虾片
1.000	0.536	0.401	0.035	0.009	639.5
0.500	0.762	0.402	0.027	0.007	1.62
1.000	0.267	0.373	0.080	0.012	春卷（素馅）
1.000	0.536	0.376	0.035	0.009	535.8
1.000	0.762	0.376	0.029	0.009	1.36
1.000	0.267	0.349	0.029	0.010	薯圈
1.000	0.536	0.350	0.037	0.009	701.6
1.000	0.762	0.352	0.029	0.009	1.78
0.500	0.267	0.323	0.066	0.012	饼干（咸）
0.500	0.536	0.326	0.035	0.010	697.2
0.500	0.762	0.327	0.027	0.007	1.77
1.000	0.267	0.298	0.043	0.012	洋葱圈
1.000	0.536	0.301	0.037	0.009	519.0
1.000	0.762	0.301	0.029	0.009	1.32
0.500	0.269	0.275	0.092	0.010	薯片（烧烤味）
1.000	0.536	0.276	0.037	0.009	508.6
1.000	0.762	0.276	0.029	0.009	1.29
0.500	0.251	0.249	0.637	0.013	资料来源：《中国食物成分表标准版（第6版第二册）》，2019年；《中国食物成分表标准版（第6版第一册）》，
1.000	0.224	0.234	0.058	0.012	2018年。
0.500	0.253	0.216	0.261	0.012	注：1g食盐=400mg 钠，1g钠=2.5g食盐。
1.000	0.928	0.047	0.031	0.010	115
