0.500	0.425	0.798	0.251	0.013	表1-53 常见饮料（每 100ml）的含糖量
0.300	0.834	0.780	0.047	0.012	单位：9
1.000	0.372	0.751	0.029	0.012	名称
0.300	0.675	0.753	0.080	0.014	总糖平均值『
1.000	0.306	0.722	0.043	0.012	果蔬汁
0.300	0.320	0.695	0.039	0.013	果汁。
0.500	0.680	0.699	0.072	0.009	11.90+3.31
1.000	0.320	0.665	0.068	0.012	复合果蔬汁
0.500	0.680	0.670	0.074	0.009	10.80土0.06
1.000	0.320	0.638	0.041	0.012	番茄汁
1.000	0.702	0.642	0.029	0.009	3.00
1.000	0.308	0.609	0.068	0.012	果奶味饮料
0.500	0.682	0.613	0.072	0.009	11.50 3.13
1.000	0.308	0.581	0.055	0.012	碳酸饮料
0.300	0.684	0.584	0.066	0.011	9.77 1.09
0.500	0.310	0.554	0.064	0.012	蛋白饮料°
0.500	0.686	0.557	0.064	0.009	8.92+3.42
0.300	0.308	0.523	0.093	0.017	特殊用途饮料“
0.500	0.686	0.527	0.064	0.011	8.22+3.13
1.000	0.308	0.496	0.055	0.012	咖啡饮料
1.000	0.686	0.498	0.066	0.010	7.25 1.23
0.500	0.310	0.468	0.065	0.013	植物饮料®
0.500	0.686	0.471	0.066	0.010	6.86+2.54
0.500	0.310	0.439	0.049	0.013	茶饮料'
0.500	0.686	0.442	0.066	0.011	4.63土2.60
1.000	0.310	0.410	0.066	0.013	固体饮料°
0.300	0.322	0.381	0.029	0.013	奶茶
0.500	0.684	0.385	0.072	0.010	30.10 1.30
1.000	0.322	0.353	0.031	0.012	咖啡
1.000	0.684	0.356	0.072	0.010	34.90 2.45
0.500	0.251	0.327	0.637	0.015	资料来源：侯琳琳，张雪松，王国栋，等，超市常见含糖预包装食品中糖含量分析［J］，卫生研究，2017，
0.300	0.226	0.312	0.111	0.009	46（3）：416-428
1.000	0.253	0.294	0.632	0.015	注：°总糖主要指具有还原性的葡萄糖、果糖、戊糖、乳糖和在测定条件下能水解为还原性单糖的蔗糖、麦芽
1.000	0.224	0.276	0.421	0.015	糖以及可能部分水解的淀粉。采用离子交换色谱-脉冲安培积分检测法。
0.500	0.248	0.258	0.639	0.020	‘主要为橙汁、葡萄汁，少量为雪梨汁、山楂果茶汁、椰子汁；°核桃和杏仁露、不同口味的乳饮料：“运动
0.500	0.226	0.243	0.600	0.016	饮料、功能饮料：°液体豆浆、豆奶和燕麦浓浆；「凉茶、茉莉茶、绿茶、菊花茶；9每100g中糖含量。
1.000	0.930	0.052	0.031	0.012	137
