1.000	0.304	0.722	0.018	0.060	明天调整目标
1.000	0.398	0.725	0.016	0.022	谷类
1.000	0.417	0.721	0.016	0.029	全谷物
1.000	0.437	0.725	0.016	0.022	薯类
1.000	0.573	0.728	0.016	0.020	蔬菜
1.000	0.593	0.728	0.016	0.023	水果
1.000	0.710	0.731	0.014	0.035	畜禽肉
0.300	0.812	0.731	0.021	0.056	总量g
0.500	0.729	0.725	0.016	0.029	水产品
1.000	0.749	0.730	0.016	0.022	蛋类
1.000	0.223	0.618	0.023	0.182	您可以对照膳食指南，检查今天的饮食，
0.500	0.246	0.619	0.018	0.158	为明天设一个膳食目标。开始行动吧！
1.000	0.296	0.622	0.018	0.054	按类别汇总
1.000	0.316	0.624	0.018	0.052	今天的食物
1.000	0.359	0.621	0.016	0.022	谷类
1.000	0.400	0.616	0.016	0.031	全谷物
1.000	0.441	0.622	0.016	0.020	薯类
1.000	0.483	0.622	0.016	0.025	其他
1.000	0.522	0.622	0.018	0.023	蔬菜
1.000	0.565	0.613	0.016	0.041	深色叶菜
0.300	0.629	0.626	0.019	0.039	水果
0.500	0.733	0.621	0.014	0.031	水产品
1.000	0.299	0.504	0.018	0.064	想想能量需求？
0.500	0.320	0.488	0.016	0.094	如1800kcal推荐如下
0.500	0.401	0.516	0.020	0.046	谷类 225g
0.500	0.425	0.500	0.014	0.077	一其中全谷物 75g
0.500	0.444	0.519	0.016	0.039	薯类 50g
1.000	0.579	0.517	0.016	0.045	蔬菜400g
1.000	0.600	0.517	0.016	0.045	水果200g
0.500	0.735	0.517	0.016	0.049	畜禽肉 50g
0.500	0.756	0.517	0.016	0.049	水产品 50g
0.500	0.776	0.523	0.016	0.039	蛋类 40g
0.500	0.263	0.404	0.018	0.118	自我实践——我的膳食计划
1.000	0.312	0.407	0.018	0.022	提示
0.500	0.414	0.366	0.021	0.107	最好选择1/3的全谷类及
1.000	0.571	0.368	0.018	0.108	选择多种多样的蔬菜水
1.000	0.591	0.369	0.018	0.106	果，深色蔬菜最好占到
1.000	0.747	0.371	0.018	0.106	优先选择鱼和禽，要吃瘦
1.000	0.767	0.370	0.022	0.098	肉，鸡蛋不要丢弃蛋黄
0.300	0.267	0.362	0.016	0.035	表3-10
1.000	0.435	0.366	0.018	0.039	杂豆食物
0.500	0.614	0.368	0.016	0.036	1/2以上
1.000	0.316	0.253	0.018	0.041	食物类别
1.000	0.318	0.100	0.018	0.070	写下今天的食谱
1.000	0.936	0.051	0.033	0.013	333
