0.500	0.232	0.706	0.452	0.022	附录五 我国儿童青少年体格发育标准
0.500	0.331	0.644	0.462	0.013	附表 5-1 用于筛查 6~18岁学龄儿童青少年生长迟缓的年龄别身高的界值范围
1.000	0.834	0.626	0.060	0.010	单位：cm
0.500	0.306	0.601	0.068	0.013	年龄（岁）
1.000	0.546	0.602	0.029	0.012	男生
1.000	0.766	0.603	0.029	0.012	女生
0.500	0.329	0.583	0.031	0.009	6.0~
1.000	0.540	0.584	0.047	0.009	≤106.3
1.000	0.760	0.584	0.047	0.010	≤105.7
0.500	0.329	0.563	0.031	0.009	6.5~
1.000	0.540	0.562	0.047	0.009	≤109.5
1.000	0.760	0.564	0.047	0.009	≤108.0
0.500	0.329	0.542	0.031	0.009	7.0~
1.000	0.540	0.542	0.047	0.009	≤111.3
1.000	0.760	0.542	0.047	0.010	≤110.2
0.500	0.328	0.522	0.031	0.009	7.5~
0.500	0.540	0.522	0.047	0.009	≤112.8
1.000	0.760	0.522	0.047	0.010	≤111.8
0.300	0.331	0.500	0.029	0.009	8.0~
1.000	0.540	0.500	0.047	0.010	≤115.4
1.000	0.760	0.501	0.047	0.009	≤114.5
0.500	0.331	0.480	0.029	0.009	8.5~
1.000	0.542	0.480	0.045	0.010	≤117.6
1.000	0.760	0.481	0.047	0.009	≤116.8
0.300	0.331	0.459	0.029	0.009	9.0~
1.000	0.542	0.459	0.045	0.010	≤120.6
1.000	0.760	0.459	0.047	0.011	≤119.5
1.000	0.940	0.458	0.018	0.012	附
0.500	0.331	0.439	0.029	0.007	9.5~
1.000	0.542	0.439	0.047	0.009	≤123.0
1.000	0.760	0.439	0.047	0.010	≤121.7
0.500	0.326	0.418	0.037	0.007	10.0~
1.000	0.542	0.418	0.047	0.009	≤125.2
1.000	0.760	0.418	0.047	0.009	≤123.9
0.500	0.326	0.397	0.037	0.009	10.5~
1.000	0.542	0.398	0.047	0.009	≤127.0
1.000	0.760	0.398	0.047	0.009	≤125.7
0.500	0.326	0.376	0.037	0.009	11.0~
1.000	0.542	0.376	0.045	0.009	≤129.1
1.000	0.760	0.376	0.049	0.010	≤128.6
0.500	0.326	0.356	0.037	0.009	11.5~
1.000	0.542	0.356	0.047	0.009	≤130.8
1.000	0.760	0.356	0.049	0.010	≤131.0
0.300	0.326	0.334	0.037	0.009	12.0~
1.000	0.542	0.336	0.045	0.009	≤133.1
1.000	0.760	0.335	0.050	0.010	≤133.6
0.500	0.326	0.314	0.037	0.009	12.5~
1.000	0.542	0.314	0.047	0.010	≤134.9
0.500	0.760	0.315	0.049	0.009	≤135.7
0.500	0.326	0.294	0.037	0.009	13.0~
1.000	0.542	0.294	0.047	0.009	≤136.9
1.000	0.762	0.295	0.047	0.009	≤138.8
0.500	0.326	0.273	0.037	0.009	13.5~
1.000	0.542	0.273	0.047	0.009	≤138.6
0.500	0.762	0.273	0.047	0.010	≤141.4
0.500	0.329	0.253	0.035	0.007	14.0~
1.000	0.542	0.253	0.047	0.009	≤141.9
1.000	0.762	0.253	0.047	0.009	≤142.9
0.500	0.329	0.231	0.035	0.009	14.5~
1.000	0.542	0.231	0.047	0.010	≤144.7
1.000	0.762	0.233	0.047	0.009	≤144.1
0.500	0.329	0.211	0.037	0.009	15.0～
1.000	0.542	0.210	0.047	0.011	≤149.6
1.000	0.762	0.212	0.047	0.009	≤145.4
0.500	0.329	0.190	0.037	0.009	15.5～
1.000	0.542	0.190	0.047	0.009	≤153.6
1.000	0.762	0.192	0.047	0.009	≤146.5
0.500	0.329	0.170	0.037	0.007	16.0~
1.000	0.542	0.170	0.047	0.009	≤155.1
1.000	0.762	0.170	0.047	0.009	≤146.8
0.500	0.329	0.148	0.037	0.009	16.5~
1.000	0.542	0.150	0.047	0.009	≤156.4
1.000	0.762	0.149	0.047	0.009	≤147.0
0.500	0.329	0.128	0.037	0.009	17.0~
1.000	0.542	0.128	0.047	0.010	≤156.8
1.000	0.762	0.129	0.047	0.009	≤147.3
1.000	0.314	0.107	0.064	0.010	17.5~18.0
1.000	0.544	0.108	0.045	0.009	≤157.1
1.000	0.762	0.109	0.047	0.009	≤147.5
0.500	0.263	0.084	0.380	0.012	资料来源：《学龄儿童青少年营养不良筛查》（WS/T 456—2014）。
1.000	0.934	0.049	0.033	0.012	349
