0.500	0.216	0.795	0.665	0.013	［74］ DEJESUS J M, GELMAN S A, HEROLD I, et al. Children eat more food when they prepare
0.300	0.257	0.778	0.359	0.012	it themselves ［J］. Appetite, 2019 （133）：305-312
0.500	0.216	0.758	0.665	0.015	［75］ ALLIROT X, DA QUINTA N, CHOKUPERMAL K, et al. Involving children in cooking
0.500	0.257	0.741	0.624	0.015	activities: A potential strategy for directing food choices toward novel foods containing
0.300	0.257	0.724	0.347	0.013	vegetables ［J］ . Appetite, 2016 （ 103）： 275-285.
0.500	0.213	0.704	0.670	0.017	［76］中国营养学会，新型冠状病毒感染的肺炎防治营养膳食指导［EB/OL］.（2020-02-08）［ 2021-
0.500	0.259	0.687	0.624	0.016	01-15］. http: //www.nhc.gov.cn/xcs/fkdt/202002/a69fd36d54514c5a9a3f456188cbc428.
0.500	0.259	0.671	0.041	0.009	shtmi.
0.500	0.218	0.653	0.665	0.013	［77］ LIU T, SU X, LI NN, et al. Development and validation of a food and nutrition literacy
0.500	0.259	0.635	0.616	0.013	questionnaire for Chinese school-age children ［J］. PLoS One, 2021,16 （1）： e0244197.
0.500	0.218	0.618	0.665	0.013	［78］ SCAGLIONI S, DE COSMI V, CIAPPOLINO V, et al. Factors Influencing Children’s Eating
0.500	0.261	0.599	0.361	0.013	Behaviours ［J］ . Nutrients, 2018, 10 （6）： 706-722
0.500	0.218	0.581	0.665	0.015	［79］国家卫生计生委.《学生餐营养指南》：WS/T 554-2017［ EB/OL］.（2017-08-01）. http: //
1.000	0.259	0.564	0.569	0.013	www.nhc.gov.cn/wjw/yingyang/201708/e8a131882d2c4a8c95f10a8b7b5fe662.shtml
0.500	0.218	0.544	0.666	0.017	［80］ Du Y, Rong S, Sun Y b, et al. Association Between Frequency of Eating Away-From-Home
0.500	0.259	0.529	0.624	0.013	Meals and Risk of All-Cause and Cause-Specific MortalitylJ］. J Acad Nutr Diet, 2021 （21）：
1.000	0.261	0.512	0.090	0.010	S2212-S2672
0.500	0.220	0.493	0.665	0.013	［81］ BLEICH SN, VERCAMMEN KA. The negative impact of sugar-sweetened beverages on
0.500	0.261	0.475	0.569	0.013	children's health: an update of the literature ［J］. BMC Obes, 2018, 5（1）： 6-32.
0.500	0.218	0.455	0.667	0.016	［82］张云婷，马生霞，陈畅，等，中国儿童青少年身体活动指南［J］.中国循证儿科杂志，2017，
0.300	0.261	0.440	0.129	0.010	12 （06）： 401-409.
0.500	0.218	0.419	0.668	0.018	［83］刘尚昕，于普林.人口老龄化对我国健康保健服务体系的挑战与对策［J］.中华老年医学杂志，
0.300	0.261	0.402	0.170	0.012	2020, 39 （3）： 255-258.
0.500	0.218	0.384	0.665	0.016	［84］刘远立，郑忠伟，饶克勤，等，老年健康蓝皮书：中国老年健康研究报告（2018）［M」.北京：
1.000	0.261	0.368	0.187	0.012	社会科学文献出版社，2019.
0.500	0.222	0.349	0.665	0.016	［85］ GANAPATHY A, NIEVES JW. Nutrition and Sarcopenia-What Do We Know？［J］.
0.500	0.263	0.333	0.259	0.012	Nutrients,2020,12（6）：1755-1779
0.500	0.220	0.312	0.666	0.019	［86］郝秋奎，李峻，董碧蓉，等，老年患者衰弱评估与干预中国专家共识【J］，中华老年医学杂志，
0.300	0.263	0.296	0.170	0.012	2017,36（3）：251-256.
0.500	0.220	0.277	0.668	0.017	［87］中国吞咽障碍膳食营养管理专家共识组，吞咽障碍膳食营养管理中国专家共识（2019版）［J］.
0.500	0.265	0.261	0.355	0.012	中华物理医学与康复杂志，2019,41（12）：881-887.
0.500	0.222	0.242	0.666	0.017	［88］ JENSEN GL, CEDERHOLM T, CORREIA MITD, et al. GLIM criteria for the diagnosis of
0.500	0.263	0.227	0.624	0.013	malnutrition: a consensus report from the Global Clinical Nutrition Community LJJ. JPENJ
0.500	0.265	0.209	0.306	0.010	Parenter Enteral Nutr, 2019, 43 （1）：32-40.
0.500	0.222	0.189	0.665	0.016	［89］ YU D X, ZHANG X L, XIANG Y B, et al. Adherence to dietary guidelines and mortality : a
0.500	0.263	0.172	0.624	0.014	report from prospective cohort studies of 134 000 Chinese adults in urban Shanghai［J］. Am J
0.500	0.265	0.154	0.248	0.013	Clin Nutr, 2014, 100 （2）：693-700.
0.500	0.224	0.136	0.665	0.015	［90］ CUl X, WANG B, WU Y, et al. Vegetarians have a lower fasting insulin level and higher
0.500	0.263	0.118	0.627	0.017	insulin sensitivity than matched omnivores: A cross-sectional study ［J］. Nutr Metab
0.500	0.265	0.102	0.251	0.012	Cardiovasc Dis, 2019, 29: 467-473.
0.500	0.224	0.082	0.666	0.017	［91J XIE L Y, WANG B, CUI X Y, et al. Young adult vegetarians in Shanghai have comparable
1.000	0.926	0.049	0.033	0.012	359
